"contrast","estimate","SE","df","t.ratio","p.value","Protein"
"draw 1 - draw 2",-49.927850877193,13.4126477000519,82,-3.72244555987255,0.00323769749231517,"VDR"
"draw 1 - draw 3",-67.2166666666667,14.097012812774,82,-4.76814964697757,7.66835271902577e-05,"VDR"
"draw 1 - draw 4",-44.0275000000001,14.3761886831405,82,-3.06252936507664,0.0241024457955062,"VDR"
"draw 1 - draw 5",-43.9772435897436,15.0413312616732,82,-2.92376005984272,0.0352039772049387,"VDR"
"draw 2 - draw 3",-17.2888157894737,14.8204005470301,82,-1.16655523139273,0.770248016890914,"VDR"
"draw 2 - draw 4",5.90035087719296,15.0861957823751,82,0.391109260565624,0.994958586728813,"VDR"
"draw 2 - draw 5",5.95060728744936,15.7213278146053,82,0.378505388197629,0.995556935559212,"VDR"
"draw 3 - draw 4",23.1891666666667,15.6977691122643,82,1.47722689133894,0.580061469086313,"VDR"
"draw 3 - draw 5",23.2394230769231,16.3091017585914,82,1.42493580706742,0.613539249522208,"VDR"
"draw 4 - draw 5",0.0502564102563987,16.5510069476703,82,0.00303645635672172,0.999999999980289,"VDR"
"draw 1 - draw 2",82.2587719298246,96.0640493217045,82,0.856290907062974,0.911823395180274,"IL.23"
"draw 1 - draw 3",-96.8083333333334,100.965608313844,82,-0.958824840953881,0.87260950456992,"IL.23"
"draw 1 - draw 4",-256.536666666667,102.965121398811,82,-2.4914909357804,0.102558628470413,"IL.23"
"draw 1 - draw 5",-279.821794871795,107.729004779561,82,-2.59746013104248,0.0802095704907392,"IL.23"
"draw 2 - draw 3",-179.067105263158,106.146655079281,82,-1.68697831438412,0.447604093533086,"IL.23"
"draw 2 - draw 4",-338.795438596491,108.050333396095,82,-3.13553348655134,0.0196201383334074,"IL.23"
"draw 2 - draw 5",-362.080566801619,112.599275277996,82,-3.21565628115882,0.015576829147619,"IL.23"
"draw 3 - draw 4",-159.728333333333,112.430543168255,82,-1.42068452959705,0.616252093426011,"IL.23"
"draw 3 - draw 5",-183.013461538461,116.809029116895,82,-1.56677495671429,0.522765724117357,"IL.23"
"draw 4 - draw 5",-23.285128205128,118.541602172904,82,-0.196430010884824,0.999660925733149,"IL.23"
"draw 1 - draw 2",-42.4521929824561,12.9056402149382,82,-3.28942944909606,0.0125389201366455,"BMP.RIB"
"draw 1 - draw 3",-60.6104166666667,13.5641358466704,82,-4.46843185233542,0.000237789259425081,"BMP.RIB"
"draw 1 - draw 4",-45.575,13.8327586734392,82,-3.29471518125379,0.012343532388824,"BMP.RIB"
"draw 1 - draw 5",-28.4185897435898,14.472758396249,82,-1.96359180230323,0.292990820894606,"BMP.RIB"
"draw 2 - draw 3",-18.1582236842105,14.2601790174884,82,-1.27335173436053,0.708156885782322,"BMP.RIB"
"draw 2 - draw 4",-3.12280701754387,14.5159270066191,82,-0.21512969968228,0.999514001029482,"BMP.RIB"
"draw 2 - draw 5",14.0336032388664,15.1270506028136,82,0.927715759492214,0.88535873678493,"BMP.RIB"
"draw 3 - draw 4",15.0354166666667,15.1043824359353,82,0.995434055674821,0.856684372855769,"BMP.RIB"
"draw 3 - draw 5",32.1918269230769,15.6926062796969,82,2.05140091768738,0.251337959259143,"BMP.RIB"
